variable	value	grp.x	time	loc	treat	gene
H1_BulkLitter_4	1161.9194533152	BulkLitter	H1	Bulk	Litter	prot
H1_BulkLitter_5	1046.85105055045	BulkLitter	H1	Bulk	Litter	prot
H1_BulkLitter_6	888.605887916525	BulkLitter	H1	Bulk	Litter	prot
H1_Bulk_28	1049.5199543395	Bulk	H1	Bulk	NoLitter	prot
H1_Bulk_29	919.674023262318	Bulk	H1	Bulk	NoLitter	prot
H1_Bulk_30	1024.82420848487	Bulk	H1	Bulk	NoLitter	prot
H1_RhizoLitter_1	947.361542417042	RhizoLitter	H1	Rhizo	Litter	prot
H1_RhizoLitter_3	816.800332509977	RhizoLitter	H1	Rhizo	Litter	prot
H1_Rhizo_25	558.607517819633	Rhizo	H1	Rhizo	NoLitter	prot
H1_Rhizo_26	738.337161158939	Rhizo	H1	Rhizo	NoLitter	prot
H1_Rhizo_27	744.484245223321	Rhizo	H1	Rhizo	NoLitter	prot
H2_BulkLitter_10	988.753350181111	BulkLitter	H2	Bulk	Litter	prot
H2_BulkLitter_11	1332.10947591954	BulkLitter	H2	Bulk	Litter	prot
H2_BulkLitter_12	1538.94035435336	BulkLitter	H2	Bulk	Litter	prot
H2_BulkLitter_50	1317.1424320782	BulkLitter	H2	Bulk	Litter	prot
H2_Bulk_34	970.877115000933	Bulk	H2	Bulk	NoLitter	prot
H2_Bulk_35	1485.70185801397	Bulk	H2	Bulk	NoLitter	prot
H2_Bulk_36	779.387833614996	Bulk	H2	Bulk	NoLitter	prot
H2_RhizoLitter_49	776.254540308209	RhizoLitter	H2	Rhizo	Litter	prot
H2_RhizoLitter_7	826.248441011742	RhizoLitter	H2	Rhizo	Litter	prot
H2_RhizoLitter_8	881.987282420937	RhizoLitter	H2	Rhizo	Litter	prot
H2_Rhizo_31	881.871767487574	Rhizo	H2	Rhizo	NoLitter	prot
H2_Rhizo_32	693.052361397535	Rhizo	H2	Rhizo	NoLitter	prot
H2_Rhizo_33	899.015134864056	Rhizo	H2	Rhizo	NoLitter	prot
H3_BulkLitter_16	892.140307769487	BulkLitter	H3	Bulk	Litter	prot
H3_BulkLitter_17	849.353599797606	BulkLitter	H3	Bulk	Litter	prot
H3_Bulk_40	644.332742562819	Bulk	H3	Bulk	NoLitter	prot
H3_Bulk_41	925.789118058294	Bulk	H3	Bulk	NoLitter	prot
H3_Bulk_42	892.709590941793	Bulk	H3	Bulk	NoLitter	prot
H3_RhizoLitter_13	974.236391530888	RhizoLitter	H3	Rhizo	Litter	prot
H3_RhizoLitter_14	995.745217854683	RhizoLitter	H3	Rhizo	Litter	prot
H3_RhizoLitter_15	803.920129054779	RhizoLitter	H3	Rhizo	Litter	prot
H3_Rhizo_37	1233.47849064422	Rhizo	H3	Rhizo	NoLitter	prot
H4_BulkLitter_22	946.636440745966	BulkLitter	H4	Bulk	Litter	prot
H4_BulkLitter_23	1404.52107920088	BulkLitter	H4	Bulk	Litter	prot
H4_BulkLitter_24	640.709633658736	BulkLitter	H4	Bulk	Litter	prot
H4_Bulk_46	1428.7908315738	Bulk	H4	Bulk	NoLitter	prot
H4_Bulk_47	595.500689874268	Bulk	H4	Bulk	NoLitter	prot
H4_Bulk_48	585.883307561497	Bulk	H4	Bulk	NoLitter	prot
H4_RhizoLitter_19	662.82531217597	RhizoLitter	H4	Rhizo	Litter	prot
H4_RhizoLitter_20	693.056089002697	RhizoLitter	H4	Rhizo	Litter	prot
H4_RhizoLitter_21	545.924971518463	RhizoLitter	H4	Rhizo	Litter	prot
H4_Rhizo_43	389.397087234623	Rhizo	H4	Rhizo	NoLitter	prot
H4_Rhizo_44	483.281237084429	Rhizo	H4	Rhizo	NoLitter	prot
H4_Rhizo_45	580.637395354988	Rhizo	H4	Rhizo	NoLitter	prot
H1_BulkLitter_4	5723.25816362183	BulkLitter	H1	Bulk	Litter	amoa
H1_BulkLitter_5	4381.19151499455	BulkLitter	H1	Bulk	Litter	amoa
H1_BulkLitter_6	4051.97301739539	BulkLitter	H1	Bulk	Litter	amoa
H1_Bulk_28	5641.47366961948	Bulk	H1	Bulk	NoLitter	amoa
H1_Bulk_29	4955.13365387157	Bulk	H1	Bulk	NoLitter	amoa
H1_Bulk_30	5174.68505623507	Bulk	H1	Bulk	NoLitter	amoa
H1_RhizoLitter_1	3304.50790298303	RhizoLitter	H1	Rhizo	Litter	amoa
H1_RhizoLitter_3	3665.43633842325	RhizoLitter	H1	Rhizo	Litter	amoa
H1_Rhizo_25	3231.65394198702	Rhizo	H1	Rhizo	NoLitter	amoa
H1_Rhizo_26	3639.77752688845	Rhizo	H1	Rhizo	NoLitter	amoa
H1_Rhizo_27	3662.46785672553	Rhizo	H1	Rhizo	NoLitter	amoa
H2_BulkLitter_10	4676.25650220184	BulkLitter	H2	Bulk	Litter	amoa
H2_BulkLitter_11	5773.56539440311	BulkLitter	H2	Bulk	Litter	amoa
H2_BulkLitter_12	5734.96775216461	BulkLitter	H2	Bulk	Litter	amoa
H2_BulkLitter_50	4725.23101561034	BulkLitter	H2	Bulk	Litter	amoa
H2_Bulk_34	5260.55928591811	Bulk	H2	Bulk	NoLitter	amoa
H2_Bulk_35	5798.48210870596	Bulk	H2	Bulk	NoLitter	amoa
H2_Bulk_36	2291.94643254437	Bulk	H2	Bulk	NoLitter	amoa
H2_RhizoLitter_49	3048.89796601102	RhizoLitter	H2	Rhizo	Litter	amoa
H2_RhizoLitter_7	4032.87929541446	RhizoLitter	H2	Rhizo	Litter	amoa
H2_RhizoLitter_8	3345.77226935463	RhizoLitter	H2	Rhizo	Litter	amoa
H2_Rhizo_31	4140.1558768364	Rhizo	H2	Rhizo	NoLitter	amoa
H2_Rhizo_32	3667.02705072787	Rhizo	H2	Rhizo	NoLitter	amoa
H2_Rhizo_33	4120.20958487512	Rhizo	H2	Rhizo	NoLitter	amoa
H3_BulkLitter_16	3908.37410774013	BulkLitter	H3	Bulk	Litter	amoa
H3_BulkLitter_17	3507.78238108503	BulkLitter	H3	Bulk	Litter	amoa
H3_Bulk_40	2845.73940265614	Bulk	H3	Bulk	NoLitter	amoa
H3_Bulk_41	4065.84511007021	Bulk	H3	Bulk	NoLitter	amoa
H3_Bulk_42	4187.92739607256	Bulk	H3	Bulk	NoLitter	amoa
H3_RhizoLitter_13	3790.27734807272	RhizoLitter	H3	Rhizo	Litter	amoa
H3_RhizoLitter_14	3762.40439910915	RhizoLitter	H3	Rhizo	Litter	amoa
H3_RhizoLitter_15	3230.91268708542	RhizoLitter	H3	Rhizo	Litter	amoa
H3_Rhizo_37	3366.42317276034	Rhizo	H3	Rhizo	NoLitter	amoa
H4_BulkLitter_22	4171.87079096367	BulkLitter	H4	Bulk	Litter	amoa
H4_BulkLitter_23	8020.75314684093	BulkLitter	H4	Bulk	Litter	amoa
H4_BulkLitter_24	4349.61515367337	BulkLitter	H4	Bulk	Litter	amoa
H4_Bulk_46	8228.60375798252	Bulk	H4	Bulk	NoLitter	amoa
H4_Bulk_47	3849.99629020019	Bulk	H4	Bulk	NoLitter	amoa
H4_Bulk_48	3879.04730172232	Bulk	H4	Bulk	NoLitter	amoa
H4_RhizoLitter_19	3236.51444491847	RhizoLitter	H4	Rhizo	Litter	amoa
H4_RhizoLitter_20	4135.19793645012	RhizoLitter	H4	Rhizo	Litter	amoa
H4_RhizoLitter_21	2790.68225572267	RhizoLitter	H4	Rhizo	Litter	amoa
H4_Rhizo_43	2494.03022476952	Rhizo	H4	Rhizo	NoLitter	amoa
H4_Rhizo_44	2292.7541501525	Rhizo	H4	Rhizo	NoLitter	amoa
H4_Rhizo_45	3030.54376396365	Rhizo	H4	Rhizo	NoLitter	amoa